video_id,label,model,split,scene,light,weather,time_of_alert,time_of_event,theta_used,duration_s,fps,status,n_frames,t_peak,s_peak,s_at_alert,s_at_event,lead_to_alert_s,lead_to_event_s,hit_alert,hit_event,false_positive,predicted_positive,n_eval_frames,hit_early_500ms,hit_early_1000ms,hit_early_1500ms
00019,1,v0_original,exploratory,Urban,Bright,Clear,19.341,19.896,6.7908898322413265,40.06535947712418,30.6,ok,134,17.45098039215686,4.912401094115986,1.2914720679859655,2.8575279673751925,1.89001960784314,2.4450196078431397,False,False,,False,119,False,False,False
00019,1,raw_flow_no_blob,exploratory,Urban,Bright,Clear,19.341,19.896,6.825930914454727,40.06535947712418,30.6,ok,134,19.836601307189543,2.571629098475022,1.1241332523363423,2.571629098475022,-0.495601307189542,0.05939869281045773,False,False,,False,119,False,False,False
00019,1,affine_residual_no_blob,exploratory,Urban,Bright,Clear,19.341,19.896,6.895384484978015,40.06535947712418,30.6,ok,134,19.836601307189543,1.381086391106796,0.027402896798647373,1.381086391106796,-0.495601307189542,0.05939869281045773,False,False,,False,119,False,False,False
00019,1,frame_difference,exploratory,Urban,Bright,Clear,19.341,19.896,1.7825162143670823,40.06535947712418,30.6,ok,134,16.99346405228758,7.923514194794531,1.0492499248451772,1.382481653929752,2.3475359477124194,2.902535947712419,True,True,,True,119,True,True,True
00077,1,v0_original,validation,Highway,Normal,Cloudy,17.645,19.964,6.7908898322413265,40.74074074074074,29.7,ok,134,19.8989898989899,3.1819292190171065,0.33949946994585073,3.1819292190171065,-2.2539898989899,0.06501010101009896,False,False,,False,119,False,False,False
00077,1,raw_flow_no_blob,validation,Highway,Normal,Cloudy,17.645,19.964,6.825930914454727,40.74074074074074,29.7,ok,134,19.8989898989899,2.32583166083771,0.16440876678669725,2.32583166083771,-2.2539898989899,0.06501010101009896,False,False,,False,119,False,False,False
00077,1,affine_residual_no_blob,validation,Highway,Normal,Cloudy,17.645,19.964,6.895384484978015,40.74074074074074,29.7,ok,134,19.8989898989899,2.3784826336992,0.18092933337357514,2.3784826336992,-2.2539898989899,0.06501010101009896,False,False,,False,119,False,False,False
00077,1,frame_difference,validation,Highway,Normal,Cloudy,17.645,19.964,1.7825162143670823,40.74074074074074,29.7,ok,134,19.8989898989899,0.9069949752735017,0.1324645614417422,0.9069949752735017,-2.2539898989899,0.06501010101009896,False,False,,False,119,False,False,False
00078,1,v0_original,exploratory,Urban,Normal,Cloudy,18.0,18.933,6.7908898322413265,39.4,30.0,ok,134,18.866666666666667,6.0142319073585835,4.115264551303016,6.0142319073585835,-0.8666666666666671,0.06633333333333269,False,False,,False,119,False,False,False
00078,1,raw_flow_no_blob,exploratory,Urban,Normal,Cloudy,18.0,18.933,6.825930914454727,39.4,30.0,ok,134,18.866666666666667,6.000626321252553,4.0349000060412346,6.000626321252553,-0.8666666666666671,0.06633333333333269,False,False,,False,119,False,False,False
00078,1,affine_residual_no_blob,exploratory,Urban,Normal,Cloudy,18.0,18.933,6.895384484978015,39.4,30.0,ok,134,18.866666666666667,6.207003507781126,3.053321503103102,6.207003507781126,-0.8666666666666671,0.06633333333333269,False,False,,False,119,False,False,False
